,index,value,change
01/12/2004,10485.18,1,0
1/19/2004,10600.51,1,0
1/26/2004,10702.51,1,0
02/02/2004,10499.18,70,2
02/09/2004,10579.03,70,0
2/16/2004,10627.85,497,-1
2/23/2004,10609.62,535,-2
03/01/2004,10678.14,270,-1
03/08/2004,10529.48,499,3
3/15/2004,10102.89,499,0
3/22/2004,10064.75,577,-2
3/29/2004,10329.63,570,-3
04/05/2004,10558.37,440,1
04/12/2004,10515.56,440,0
4/19/2004,10437.85,356,2
4/26/2004,10444.73,408,1
05/03/2004,10314,638,1
05/10/2004,9990.02,435,-2
5/17/2004,9906.91,492,-2
5/24/2004,9958.43,455,-2
5/31/2004,10188.45,441,1
06/07/2004,10391.08,366,1
6/14/2004,10334.73,322,3
6/21/2004,10371.47,178,1
6/28/2004,10357.09,178,0
07/05/2004,10282.83,396,1
07/12/2004,10238.22,761,-2
7/19/2004,10094.06,901,1
7/26/2004,9961.92,1020,1
08/02/2004,10179.16,1069,2
08/09/2004,9814.66,1207,1
8/16/2004,9954.55,1153,-3
8/23/2004,10073.05,1263,-2
8/30/2004,10122.52,1263,0
09/06/2004,10260.2,1491,1
9/13/2004,10314.76,1356,2
9/20/2004,10204.89,1231,2
9/27/2004,9988.54,1024,2
10/04/2004,10216.54,1329,1
10/11/2004,10081.97,1666,1
10/18/2004,9956.32,1825,1
10/25/2004,9749.99,1825,0
11/01/2004,10054.39,1839,-1
11/08/2004,10391.31,1911,2
11/15/2004,10550.24,2002,1
11/22/2004,10489.42,2025,3
11/29/2004,10475.9,1910,-6
12/06/2004,10547.06,1863,1
12/13/2004,10638.32,1971,-2
12/20/2004,10661.6,2034,-2
12/27/2004,10776.13,2224,-6
01/03/2005,10729.43,2224,0
01/10/2005,10621.03,2450,5
1/17/2005,10558,2526,4
1/24/2005,10368.61,2520,2
1/31/2005,10489.94,2520,0
02/07/2005,10715.76,2690,1
2/14/2005,10791.13,2690,0
2/21/2005,10785.22,2929,-2
2/28/2005,10766.23,2849,1
03/07/2005,10936.86,2785,1
3/14/2005,10804.51,2785,0
3/21/2005,10565.39,3162,-1
3/28/2005,10485.65,3162,0
